start	end	text
0	21480	¿Qué me interesa saber, es, hasta dónde conoces tú el proceso, o cómo conoces tú
21480	34360	el proceso? ¿Qué, qué parte del proceso? El proceso, todo lo que tiene que ver con la parte de infraestructura.
34360	45120	Ah, de el proceso. Exacto. Más o menos eso. Tenemos, tenemos varios, varios procesos. Tenemos el proceso de instalación,
45120	65000	tenemos el proceso de mantener la plataforma, que es la parte del día a día, ¿no? Entonces, ¿cuál es la que vamos a empezar, la de mantener la plataforma?
65000	94000	Correcto. Es como el más, es urgente, ¿no? Bueno, mira, lo que pasa es que ustedes contemplaron de que si, si mantenemos, mantenemos la plataforma, no podemos incluir clientes, ¿contemplaron eso?, porque para nosotros el proceso operativo es todos los días hacer instalaciones, todos los días vamos agregando el sistema,
96000	99640	pero si es un proceso base, pues tal vez es cosa de hacerlo también.
103320	111120	Por eso es que digo, o sea, mantener la plataforma no está, no es difícil,
112960	121920	que realmente lo que es, lo que se busca allí son, son un par de cosas. Permíteme una hoja blanca de esa, por favor.
125000	139120	El proceso más, que requiere más, es el de, el de instalación.
139120	149120	Porque el resto son los modelos de las cosas y como que funciones para esas cosas, como que deciden ver o cortarlas al final.
149240	160240	Exactamente. Por eso, eso es el mantener. El mantener es poder cortar, poder cambiar un plan, poder reconectar,
162240	165240	vamos a buscar aquí esto que está en activo.
165360	175360	Aquí está su recurrente mensual, esta es la parte administrativa,
178360	186360	correcto, pero si ella no paga en cierta fecha, se va a cortar el servicio automáticamente.
186480	202480	Entonces, de repente, si yo quiero, la persona me llama y me dice, mira, vale, dame dos días y yo te pago.
202480	213480	Yo puedo venir aquí y yo le doy aquí, bueno este porque no está cortado, pero yo le doy aquí a una cosa que se llama promesa de pago.
213600	218600	Y entonces ahí yo le activo el servicio por tres días.
220600	224600	Después del corte, después del corte.
224600	229600	Está cortado, vamos a buscarte a alguien que esté cortado.
229600	232600	Es este que está cortado.
233600	238600	Yo a esta persona, le doy una promesa de pago.
238720	242720	Y el servicio es el activo por tres días nada más.
245720	248720	Si él no paga en esos tres días, se le vuelve a cortar.
251720	255720	Ok, eso es prácticamente el mantener la plataforma.
256720	265720	Ok, ah, que de repente, bueno, mira, puede pasar, ha pasado muy poco pero puede pasar.
265840	272840	Es un amigo de blando y mira, vale, yo reconecto.
274840	277840	Entonces yo tengo que venir aquí y le doy reconectar.
278840	281840	Ya no es una promesa de pago, ya es una reconexión directa.
284840	288840	Entonces yo puedo a esta persona reconectar o cortar.
288960	293960	Bueno, todas esas funciones están implementadas en este odio.
294960	303960	De ahí de los que están, o sea, hay por ejemplo la opción de simplificar donde hay muchas opciones que...
304960	307960	Por ejemplo, esto que dice aquí es suspender.
308960	311960	Esto no es para suspender el servicio.
312960	315960	Esto es para suspender la factura.
316080	317080	La factura.
320080	327080	Lo que pasa es que este suspender se entiende otra cosa pero no es la realidad.
328080	330080	Dispender la factura, ¿qué pasa?
331080	332080	No factura más.
335080	336080	O sea, no lo cortas más nunca.
337080	338080	Porque no se le va a hacer la factura.
342080	343080	Entonces por ejemplo, ¿es de botón?
344080	345080	No debe ir ahí.
346080	347080	No se usa.
348080	349080	No debería ir.
350080	353080	Sí lo usan, pero lo están usando incorrectamente.
354080	357080	Porque es lo que te estoy diciendo, esto es para suspender la factura.
361080	364080	O sea, que la factura no se vaya generando automáticamente.
368080	371080	Esto que está aquí es para ver...
371200	374200	Esto está tu bolete, él me va a decir...
377200	381200	qué potencia tiene, si está conectado, dónde está conectado.
382200	383200	Eso es lo que me va a decir.
386200	388200	Esto no está implementado.
389200	391200	Aquí es para hacer un test de velocidad.
392200	393200	¿Eso es con el radius?
394200	396200	No, este es para hacer un test de velocidad.
396320	398320	Este es para hacer un test de velocidad.
399320	403320	Un test de velocidad es la conexión entre el servidor
404320	408320	y el dispositivo del cliente, hacer una prueba de velocidad.
412320	416320	Esto es eliminar el contrato completamente, eliminar el servicio.
417320	419320	Esto sí es con el radius.
421320	424320	Esto de conectar sesión de red es que él tumba el radius
426320	427320	de la sesión.
438320	439320	Él viene aquí.
